,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Ushuaia,75,AR,1603988482,81,-54.8,-68.3,46.4,29.97
1,Contai,73,IN,1603988482,75,21.78,87.75,75.54,5.84
2,Airai,14,TL,1603988483,100,-8.93,125.41,61.57,0.89
3,Nikolskoye,20,RU,1603988451,87,59.7,30.79,51.01,3.33
4,Khedbrahma,0,IN,1603988484,29,24.03,73.05,75.94,1.54
5,Bredasdorp,97,ZA,1603988458,45,-34.53,20.04,62.6,23.04
6,Ust-Nera,100,RU,1603988485,88,64.57,143.2,8.51,1.54
7,Souillac,47,MU,1603988485,68,-20.52,57.52,71.01,8.99
8,Mataura,75,NZ,1603988485,92,-46.19,168.86,52.0,1.99
9,Vestmannaeyjar,75,IS,1603988486,87,63.44,-20.27,46.4,21.92
10,Bluff,79,NZ,1603988429,92,-46.6,168.33,52.0,1.99
11,Albany,100,US,1603988486,90,42.6,-73.97,46.0,1.57
12,Hermanus,81,ZA,1603988487,70,-34.42,19.23,55.99,5.99
13,Ponta do Sol,40,PT,1603988487,60,32.67,-17.1,73.4,10.29
14,Port Alfred,100,ZA,1603988488,84,-33.59,26.89,65.21,22.01
15,Arraial do Cabo,0,BR,1603988488,78,-22.97,-42.03,84.2,12.75
16,Hobart,90,AU,1603988269,76,-42.88,147.33,55.4,2.66
17,Ipixuna,75,BR,1603988489,66,-1.76,-48.8,87.8,5.82
18,Acapulco de Juárez,20,MX,1603988489,78,16.86,-99.89,82.4,4.7
19,Salalah,0,OM,1603988414,65,17.02,54.09,82.4,2.24
20,Rikitea,100,PF,1603988490,71,-23.12,-134.97,74.43,8.7
21,Vaini,20,TO,1603988404,77,-21.2,-175.2,69.8,6.93
22,Baghdad,0,IQ,1603988329,24,33.34,44.4,78.8,3.33
23,Beringovskiy,0,RU,1603988491,87,63.05,179.32,24.37,8.84
24,Nanortalik,100,GL,1603988444,92,60.14,-45.24,32.72,7.58
25,Mahenge,44,TZ,1603988492,62,-8.68,36.72,72.86,2.93
